,Price,Total_Sqft,Location,BHK,Price_Per_Sqft
610,33100000,1124,Andheri East,3,29448
611,18500000,902,Andheri East,2,20509
612,21000000,850,Andheri East,2,24705
615,13500000,550,Andheri East,1,24545
616,18100000,550,Andheri East,1,32909
617,9500000,650,Andheri East,1,14615
620,32500000,1113,Andheri East,3,29200
621,21400000,742,Andheri East,2,28840
622,11500000,426,Andheri East,1,26995
623,17000000,678,Andheri East,2,25073
624,15100000,716,Andheri East,2,21089
625,17900000,850,Andheri East,2,21058
626,20000000,700,Andheri East,2,28571
627,12000000,802,Andheri East,1,14962
629,17900000,650,Andheri East,1,27538
632,12100000,864,Andheri East,1,14004
633,13000000,650,Andheri East,1,20000
635,3500000,300,Andheri East,1,11666
636,4700000,300,Andheri East,1,15666
637,4600000,300,Andheri East,1,15333
639,27000000,1200,Andheri East,2,22500
640,110000000,3300,Andheri West,4,33333
641,28500000,997,Andheri West,2,28585
642,55000000,1950,Andheri West,3,28205
644,31200000,1361,Andheri West,2,22924
649,17000000,390,Andheri West,1,43589
650,12000000,723,Andheri West,1,16597
652,85000000,2590,Andheri West,3,32818
654,80000000,1800,Andheri West,4,44444
656,113400000,3080,Andheri West,3,36818
657,139500000,3780,Andheri West,4,36904
659,75000000,1875,Andheri West,3,40000
662,35500000,1400,Andheri West,2,25357
663,13500000,650,Andheri West,1,20769
664,27000000,650,Andheri West,2,41538
668,31000000,1550,Andheri West,3,20000
669,35000000,1600,Andheri West,3,21875
671,43000000,1850,Andheri West,3,23243
672,37000000,1600,Andheri West,3,23125
674,22000000,1166,Andheri West,3,18867
675,19600000,790,Andheri West,2,24810
676,26500000,1193,Andheri West,3,22212
680,27799999,707,Andheri West,2,39321
682,22200000,923,Andheri West,2,24052
684,14600000,420,Andheri West,1,34761
685,62100000,1648,Andheri West,4,37682
686,54500000,1705,Andheri West,4,31964
687,59500000,1418,Andheri West,3,41960
688,27000000,1210,Andheri West,3,22314
691,42500000,2500,Andheri West,4,17000
693,99000000,2550,Andheri West,4,38823
696,39000000,930,Andheri West,2,41935
697,58000000,1680,Andheri West,4,34523
698,47800000,2400,Andheri West,4,19916
704,42500000,2525,Andheri West,4,16831
705,36000000,1250,Andheri West,2,28800
708,31700000,1003,Andheri West,2,31605
709,39000000,1166,Andheri West,2,33447
711,51500000,1250,Andheri West,2,41200
714,51900000,2780,Andheri West,4,18669
715,47600000,2260,Andheri West,3,21061
725,25000000,944,Andheri West,3,26483
726,24800000,713,Andheri West,2,34782
727,21400000,708,Andheri West,2,30225
728,30000000,1100,Andheri West,2,27272
730,22200000,934,Andheri West,2,23768
731,22200000,960,Andheri West,2,23125
732,26700000,810,Andheri West,2,32962
735,42600000,1357,Andheri West,3,31392
736,44300000,1648,Andheri West,4,26881
737,65500000,1705,Andheri West,4,38416
738,59500000,1344,Andheri West,3,44270
747,32000000,1250,Andheri West,2,25600
754,37800000,2050,Andheri West,4,18439
760,37000000,1850,Andheri West,3,20000
762,8800000,600,Andheri West,1,14666
764,43000000,1250,Andheri West,2,34400
768,27300000,1166,Andheri West,2,23413
769,42000000,1509,Andheri West,3,27833
775,8600000,650,Andheri West,1,13230
777,13000000,650,Andheri West,1,20000
778,8500000,650,Andheri West,1,13076
782,22500000,660,Andheri West,2,34090
785,65000000,2590,Andheri West,5,25096
802,2096000,645,Anekal City,1,3249
804,5243000,520,Anekal City,1,10082
805,21000000,950,Anekal City,2,22105
806,4237000,520,Anekal City,1,8148
808,7840000,645,Anekal City,1,12155
809,3100000,520,Anekal City,1,5961
810,3261999,645,Anekal City,1,5057
811,6700000,645,Anekal City,1,10387
815,5750000,520,Anekal City,1,11057
816,4933000,520,Anekal City,1,9486
818,4500000,645,Anekal City,1,6976
819,4054000,645,Anekal City,1,6285
822,8400000,520,Anekal City,1,16153
823,8400000,520,Anekal City,1,16153
827,4950000,645,Anekal City,1,7674
829,2288000,520,Anekal City,1,4400
830,6500000,520,Anekal City,1,12500
832,4000000,520,Anekal City,1,7692
833,3800000,520,Anekal City,1,7307
834,7840000,520,Anekal City,1,15076
837,3100000,520,Anekal City,1,5961
838,4146000,645,Anekal City,1,6427
840,7900000,520,Anekal City,1,15192
842,3116000,645,Anekal City,1,4831
845,6605000,645,Anekal City,1,10240
847,8000000,520,Anekal City,1,15384
848,3859000,645,Anekal City,1,5982
851,8000000,645,Anekal City,1,12403
853,3309000,645,Anekal City,1,5130
856,3800000,520,Anekal City,1,7307
857,3859000,520,Anekal City,1,7421
859,5058000,520,Anekal City,1,9726
861,6425000,645,Anekal City,1,9961
865,15000000,950,Anekal City,2,15789
866,7545999,645,Anekal City,1,11699
867,9300000,1225,Anekal City,3,7591
870,3500000,520,Anekal City,1,6730
871,23000000,1025,Anekal City,2,22439
872,9600000,520,Anekal City,1,18461
873,6000000,520,Anekal City,1,11538
876,17300000,1225,Anekal City,3,14122
879,9700000,950,Anekal City,2,10210
881,2899000,645,Anekal City,1,4494
882,9513000,1025,Anekal City,2,9280
883,29300000,950,Anekal City,2,30842
884,4372000,645,Anekal City,1,6778
889,9369000,1735,Anjanapura,3,5400
890,9369000,1735,Anjanapura,3,5400
891,9369000,1735,Anjanapura,3,5400
892,9180000,1700,Anjanapura,3,5400
893,9369000,1735,Anjanapura,3,5400
894,8073000,1495,Anjanapura,3,5400
895,9180000,1700,Anjanapura,3,5400
896,7177000,1375,Anjanapura,2,5219
897,6831999,1309,Anjanapura,2,5219
898,6138000,1176,Anjanapura,2,5219
899,7151000,1370,Anjanapura,2,5219
901,6890000,1320,Anjanapura,2,5219
908,6994000,1340,Anjanapura,2,5219
909,6989000,1339,Anjanapura,2,5219
914,6953000,1332,Anjanapura,2,5219
916,7500000,1390,Anjanapura,3,5395
917,6000000,1140,Anjanapura,2,5263
921,24200000,1565,Anna Nagar,3,15463
922,24200000,1565,Anna Nagar,3,15463
923,6259000,963,Anna Nagar,2,6499
924,13600000,850,Anna Nagar,2,16000
925,15000000,1161,Anna Nagar,3,12919
926,6396000,984,Anna Nagar,2,6500
927,6948000,1069,Anna Nagar,2,6499
928,6461000,994,Anna Nagar,2,6500
929,6389000,983,Anna Nagar,2,6499
930,6396000,984,Anna Nagar,2,6500
931,6461000,994,Anna Nagar,2,6500
932,6461000,994,Anna Nagar,2,6500
933,6461000,994,Anna Nagar,2,6500
934,6389000,983,Anna Nagar,2,6499
935,6396000,984,Anna Nagar,2,6500
936,6461000,994,Anna Nagar,2,6500
937,22000000,2062,Anna Nagar,3,10669
938,22000000,2062,Anna Nagar,3,10669
939,21000000,2062,Anna Nagar,3,10184
940,15500000,1555,Anna Nagar,2,9967
941,6389000,983,Anna Nagar,2,6499
942,6831000,1051,Anna Nagar,2,6499
943,6636000,1021,Anna Nagar,2,6499
944,6259000,963,Anna Nagar,2,6499
945,6389000,983,Anna Nagar,2,6499
946,6565000,1010,Anna Nagar,2,6500
947,6636000,1021,Anna Nagar,2,6499
948,51600000,3355,Anna Nagar,4,15380
949,24500000,2062,Anna Nagar,3,11881
950,15600000,1161,Anna Nagar,3,13436
951,20500000,1283,Anna Nagar,3,15978
952,22300000,1748,Anna Nagar,2,12757
953,25400000,1610,Anna Nagar,3,15776
954,31200000,1750,Anna Nagar,3,17828
955,25400000,1610,Anna Nagar,3,15776
956,26600000,1540,Anna Nagar,3,17272
957,24800000,1375,Anna Nagar,3,18036
958,27200000,1525,Anna Nagar,3,17836
959,33900000,1875,Anna Nagar,3,18080
960,28000000,1560,Anna Nagar,3,17948
961,26400000,1500,Anna Nagar,3,17600
